"","PC","ATE","SE","noise_type","noise_params","solution","data"
"100",100,2.14026541087469,0.0521943174020136,"None","None","2 4 b","sim1 5000"
"101",1,5.04821390195501,0.0449465698065349,"None","None","2 4 b2","sim1 5000"
"102",2,5.04170870478807,0.0449926645896032,"None","None","2 4 b2","sim1 5000"
"103",3,5.04134670522515,0.0449570427300546,"None","None","2 4 b2","sim1 5000"
"104",4,5.04267296548536,0.0449548447401284,"None","None","2 4 b2","sim1 5000"
"105",5,5.04153573602426,0.0450762171935351,"None","None","2 4 b2","sim1 5000"
"106",6,5.0312776047558,0.0454443607828831,"None","None","2 4 b2","sim1 5000"
"107",7,5.00166295328696,0.0454129367122319,"None","None","2 4 b2","sim1 5000"
"108",8,4.98656350969057,0.045335597558258,"None","None","2 4 b2","sim1 5000"
"109",9,4.99288739989307,0.045316331497304,"None","None","2 4 b2","sim1 5000"
"110",10,4.97053067194389,0.0456978822554205,"None","None","2 4 b2","sim1 5000"
"111",11,4.95433719604894,0.0457250066823324,"None","None","2 4 b2","sim1 5000"
"112",12,4.94704084467996,0.0458126099898904,"None","None","2 4 b2","sim1 5000"
"113",13,4.93290901857681,0.0455367331915678,"None","None","2 4 b2","sim1 5000"
"114",14,4.92179519099442,0.0458133190799228,"None","None","2 4 b2","sim1 5000"
"115",15,4.93150684678052,0.0459082928926473,"None","None","2 4 b2","sim1 5000"
"116",16,4.91154263143246,0.0460520630720192,"None","None","2 4 b2","sim1 5000"
"117",17,4.86063970037794,0.0460817630092092,"None","None","2 4 b2","sim1 5000"
"118",18,4.83077307759056,0.0461096384626288,"None","None","2 4 b2","sim1 5000"
"119",19,4.82784861176423,0.0464344151748324,"None","None","2 4 b2","sim1 5000"
"120",20,4.81947713356808,0.0468048129786199,"None","None","2 4 b2","sim1 5000"
"121",21,4.78473530124342,0.0466430577958209,"None","None","2 4 b2","sim1 5000"
"122",22,4.78262605581223,0.0470463432827928,"None","None","2 4 b2","sim1 5000"
"123",23,4.76336751417426,0.0471394197668323,"None","None","2 4 b2","sim1 5000"
"124",24,4.76982401871104,0.0470004300846322,"None","None","2 4 b2","sim1 5000"
"125",25,4.70922301050526,0.0474155401113616,"None","None","2 4 b2","sim1 5000"
"126",26,4.63322912170079,0.0478983852154202,"None","None","2 4 b2","sim1 5000"
"127",27,4.51556906131096,0.0481373491185684,"None","None","2 4 b2","sim1 5000"
"128",28,4.4936476868162,0.0485502998726678,"None","None","2 4 b2","sim1 5000"
"129",29,4.45479516906178,0.0486753327884973,"None","None","2 4 b2","sim1 5000"
"130",30,4.41130324380087,0.0487460837040655,"None","None","2 4 b2","sim1 5000"
"131",31,4.32092367710242,0.0485924378461992,"None","None","2 4 b2","sim1 5000"
"132",32,4.31733866623089,0.0493873074893338,"None","None","2 4 b2","sim1 5000"
"133",33,4.27909453384245,0.0493223330445394,"None","None","2 4 b2","sim1 5000"
"134",34,4.26826323312083,0.0500087884096206,"None","None","2 4 b2","sim1 5000"
"135",35,4.2161615673802,0.0498276098407391,"None","None","2 4 b2","sim1 5000"
"136",36,4.17268039944766,0.0508436887357685,"None","None","2 4 b2","sim1 5000"
"137",37,4.12554513160139,0.0509455128065054,"None","None","2 4 b2","sim1 5000"
"138",38,4.10964794066818,0.0515044190173332,"None","None","2 4 b2","sim1 5000"
"139",39,4.05995136890174,0.0513253154118592,"None","None","2 4 b2","sim1 5000"
"140",40,3.97850812861754,0.0510499112415096,"None","None","2 4 b2","sim1 5000"
"141",41,3.83426415381716,0.0510470527157753,"None","None","2 4 b2","sim1 5000"
"142",42,3.83993258790193,0.0514292730448848,"None","None","2 4 b2","sim1 5000"
"143",43,3.7424311243213,0.0520934729046289,"None","None","2 4 b2","sim1 5000"
